id,name,description,price,active,sort_order,image_url
m01,Nasi Tatem Dada,"Nasi, Ayam Dada, Tahu, Tempe, Sambel, Lalap",23000,TRUE,1,assets/menu/m01.jpg
m02,Nasi Tatem Paha,"Nasi, Ayam Paha, Tahu, Tempe, Sambel, Lalap",23000,TRUE,2,assets/menu/m02.jpg
m03,Nasi Ayam Dada,"Nasi, Ayam Dada, Sambel, Lalap",20000,TRUE,3,assets/menu/m03.jpg
m04,Nasi Ayam Paha,"Nasi, Ayam Paha, Sambel, Lalap",20000,TRUE,4,assets/menu/m04.jpg
m05,Ayam Dada,"Ayam Dada, Sambel, Lalap",17000,TRUE,5,assets/menu/m05.jpg
m06,Ayam Paha,"Ayam Paha, Sambel, Lalap",17000,TRUE,6,assets/menu/m06.jpg
m07,Paket Tatem,"2 Tahu, 2 Tempe, Sambel",7000,TRUE,7,assets/menu/m07.jpg
m08,Nasi,Nasi 1 Porsi,4000,TRUE,8,assets/menu/m08.jpg
m09,Nasi ½ Porsi,Nasi ½ Porsi,3000,TRUE,9,assets/menu/m09.jpg
m10,Extra Sambal Terasi,Sambal Terasi 1 Porsi,5000,TRUE,10,assets/menu/m10.jpg
m11,Extra Sambal Gepuk,Sambal Gepuk 1 Porsi,5000,TRUE,11,assets/menu/m11.jpg
m12,Sayur Asem 1 Porsi,Seporsi Sayur Asem,7000,TRUE,12,assets/menu/m12.jpg
m13,Sayur Asem ½ Porsi,Setengah Porsi Sayur Asem,4000,TRUE,13,assets/menu/m13.jpg
m14,Tahu,,2000,TRUE,14,assets/menu/m14.jpg
m15,Tempe,,1500,TRUE,15,assets/menu/m15.jpg
m16,Es Teh Manis,,4000,TRUE,16,assets/menu/m16.jpg
m17,Kerupuk,,1000,TRUE,17,assets/menu/m17.jpg
